Lemma	Part_of_Speech	Gender	Singular and Plural	Source	Lemma (Dalgado)	Definition
gentio	noun	masculine	gentio, gentios	http://kaiko.getalp.org/dbnary/por/gentio__Substantivo__1		gentile, a heathen ; applied by the Portuguese in India to the Hindus in contradistinction to the Jfowos or ‘ Moors i.e., Mohammedans.
gentio	noun	masculine	gentio, gentios	http://kaiko.getalp.org/dbnary/por/gentio__Adjetivo__1		gentile, a heathen ; applied by the Portuguese in India to the Hindus in contradistinction to the Jfowos or ‘ Moors i.e., Mohammedans.
gentio	noun	masculine	gentio, gentios	http://kaiko.getalp.org/dbnary/por/gentio__Adjetivo__1		gentile, a heathen ; applied by the Portuguese in India to the Hindus in contradistinction to the Jfowos or ‘ Moors i.e., Mohammedans.
gudão	noun	masculine	gudão, gudões	http://kaiko.getalp.org/dbnary/por/gudão__Substantivo__1	Gudão	‘ a warehouse for goods and stores’: it is an Indo-Port. word
holandês	adjective			http://kaiko.getalp.org/dbnary/por/holandês__Adjetivo__1		dutch
holandês	noun	masculine	holandês, holandeses	http://kaiko.getalp.org/dbnary/por/holandês__Substantivo__1		dutch
holandês	noun	masculine	holandês, holandeses	http://kaiko.getalp.org/dbnary/por/holandês__Substantivo__1		dutch
holandês	adjective			http://kaiko.getalp.org/dbnary/por/holandês__Adjetivo__1		dutch
hospital	noun	masculine	hospital, hospitais	http://kaiko.getalp.org/dbnary/por/igreja__Substantivo__1		hospital
igreja	noun	feminine	igreja, igrejas	http://kaiko.getalp.org/dbnary/por/igreja__Substantivo__1	Igreja	church
igreja	noun	feminine	igreja, igrejas	http://kaiko.getalp.org/dbnary/por/igreja__Substantivo__1	Igreja	church
igreja	noun	feminine	igreja, igrejas	http://kaiko.getalp.org/dbnary/por/igreja__Substantivo__1	Igreja	church
inglês	adjective	masculine	inglês, ingleses	http://kaiko.getalp.org/dbnary/por/inglês__Adjetivo__1	Inglês	arch, and pop. form, ingrês, English
inglês	noun	masculine	inglês, ingleses	http://kaiko.getalp.org/dbnary/por/inglês__Substantivo__1		English
inglês	noun	masculine	inglês, ingleses	http://kaiko.getalp.org/dbnary/por/inglês__Substantivo__1		English
inglês	adjective	masculine	inglês, ingleses	http://kaiko.getalp.org/dbnary/por/inglês__Adjetivo__1		#VALUE!
jalapa	noun	feminine	jalapa, jalapas	http://kaiko.getalp.org/dbnary/por/jalapa__Substantivo__1	Jalapa	jalap root
jalapa	noun	feminine	jalapa, jalapas	http://kaiko.getalp.org/dbnary/por/jalapa__Substantivo__1	Jalapa	jalap root
jalapa	noun	feminine	jalapa, jalapas	http://kaiko.getalp.org/dbnary/por/jalapa__Substantivo__1	Jalapa	jalap root
jalapa	noun	feminine	jalapa, jalapas	http://kaiko.getalp.org/dbnary/por/jalapa__Substantivo__1	Jalapa	jalap root
jalapa	noun	feminine	jalapa, jalapas	http://kaiko.getalp.org/dbnary/por/jalapa__Substantivo__1	Jalapa	jalap root
jalapa	noun	feminine	jalapa, jalapas		Jalapa	jalap root
janela	noun	feminine	janela, janelas	http://kaiko.getalp.org/dbnary/por/janela__Substantivo__1	Janela	window
janela	noun	feminine	janela, janelas	http://kaiko.getalp.org/dbnary/por/janela__Substantivo__1	Janela	window
janela	noun	feminine	janela, janelas	http://kaiko.getalp.org/dbnary/por/janela__Substantivo__1	Janela	window
jogar	verb	—		http://kaiko.getalp.org/dbnary/por/jogar__verbo__1	Jogar	in the sense of ' a game of chance or game with stakes ; a raffle.’
jogar	verb	—		http://kaiko.getalp.org/dbnary/por/jogar__verbo__1	Jogar	in the sense of ' a game of chance or game with stakes ; a raffle.’
jogar	verb	—		http://kaiko.getalp.org/dbnary/por/jogar__verbo__1	Jogar	in the sense of ' a game of chance or game with stakes ; a raffle.’
