Etymon pt-PT	Etymon pt-PT New Spelling	DALGADO Pt-Lemma	Headword	Transliteration	Urdu	Part of Speech	Pronunciation	Gender	Definition	Domain	Lexical field	Grammar	direct singular	oblique singular	vocative singular	direct plural	oblique plural	vocative plural
espada		espada	इस्पात	ispāta	اسپات	noun	(Delhi Hindi) IPA(key): /ɪs.pɑːt̪/, [ɪs.päːt̪]	m.	steel		weapons, explosives, devices							
estábulo		NA	अस्तबल	astabala	اَصْطَبَل	noun	(Delhi Hindi) IPA(key): /əs.t̪ə.bəl/, [ɐs.t̪ɐ.bɐl]	m.	stable (for a horse)	animal husbandry	animal housing	masc cons-stem	अस्तबल	अस्तबल	अस्तबल	अस्तबल	अस्तबलों	अस्तबलो
estirar		estirar	इस्तरी	istarī	استری	noun	(Delhi Hindi) IPA(key): /ɪs.t̪ɾiː/	f.	iron, press			fem ī-stem	इस्त्री	इस्त्री	इस्त्री	इस्त्रियाँ	इस्त्रियों	इस्त्रियो
falto		falto	फ़ालतू	fāltū	فالتو	adj.	(Delhi) IPA(key): /fɑːl.t̪uː/, [fäːl.t̪uː], /pʰɑːl.t̪uː/, [pʰäːl.t̪uː]		1. unnecessary, pointless  2. bad; not nice; of poor quality  3. useless, irrelevant, good-for-nothing (used for someone)									
fita		fita	फ़ीता	fītā	 ⁧فیتہ⁩	noun	(Delhi Hindi) IPA(key): /fiː.t̪ɑː/, [fiː.t̪äː], /pʰiː.t̪ɑː/, [pʰiː.t̪äː]	m.	1. lace; shoelace & tape; tape measure 2. ribbon			masc ā-stem	फ़ीता	फ़ीते	फ़ीते	फ़ीते	फ़ीतों	फ़ीतो
forma		forma	फ़र्मा			noun												
gentio		NA	जेंटू	jẽṭū	⁧جینٹو⁩	noun	(Delhi Hindi) IPA(key): /d͡ʒẽː.ʈuː/	m.	Gentoo	religion	practices, beliefs and rituals	masc ū-stem	जेंटू	जेंटू	जेंटू	जेंटू	जेंटुओं	जेंटुओ
gudão		gudão	गोदाम	godām	گودام	noun		m.	storage, godown									
holandês			ओलंदेज़	olandez	ولندیز	noun	(Delhi Hindi) IPA(key): /oː.lən.d̪eːz/, [oː.lɐ̃n̪.d̪eːz], /oː.lən.d̪eːd͡ʒ/, [oː.lɐ̃n̪.d̪eːd͡ʒ]	m. or f.	(dated) Dutchman; citizen of Holland 	geography	nationalities and ethnic groups							
hospital		NA	अस्पताल	aspatāla	اَسْپَتال⁩	noun	(Delhi Hindi) IPA(key): /əs.pə.t̪ɑːl/, [ɐs.pɐ.t̪äːl]	m.	hospital	healthcare	medical institutions	masc cons-stem	अस्पताल	अस्पताल	अस्पताल	अस्पताल	अस्पतालों	अस्पतालो
