Etymon pt-PT	Etymon pt-PT Note	Etymology Free	Headword	Transliteration	Headword Hindi	Part of Speech	Pronunciation	Sense (Wiktionary)	Gender	Headword (Ur)	urTenTen18	urTenTen18 Relative	Domain	OD
jogar		jogar (Source: Dalgado);  Sanskrit द्यूत  (Source: Wiktionary)	جوا	juā	जुआ	noun	(Standard Urdu) IPA(key): /d͡ʒʊ.ɑː/, /d͡ʒʊ.wɑː/, /d͡ʒuː.ɑː/	gambling	m.	جوا	1,845	6.75	geography	geography
leilão	leilão: ← A. (al) a'lām	leilão (Source: Dalgado)	نيلام	nī'lām' 	नीलाम	noun			m.	نيلام	0	0		
mármore		mármore (Source: Dalgado); Persian مرمر  (Source: Wiktionary, McGregor)	مرمر	marmar	मरमर	noun			m.	مرمر	486	1.78		
martelo		martelo (Source: Dalgado)	مارتول	mārtol	मारतौल	noun		hammer & screwdriver, turnscrew	m.	مارتول	0	0		
mastro		mastro (Source: Dalgado)	مستول	mastaul 	मस्तूल	noun			m.	مستول	33	0.12		commerce and business
mês		mês (Source: Dalgado)	ماس کَبار		मास-कबार	noun								
mestiço		mestiço (Source: Dalgado)	مَستِیسا		मस्तीसा	noun								objects
mestre		mestre (Source: Dalgado)	مِستری	mistri	मिस्त्री	noun			m.	مستری	559	2.05		
outubro	October	outubro (Source: Wiktionary);  English October (Source: McGregor)	اَکْتُوبَر	aktūbar	अक्तूबर	noun	(Standard Urdu) IPA(key): /ək.t̪uː.bəɾ/	October	m.	اکتوبر	22,398	81.97		
padre		padre (Source: Dalgado)	پادری	pādrī	पादरी	noun	(Standard Urdu) IPA(key): /pɑːd̪.ɾiː/	(Christianity) clergyman; Christian priest  Synonym: ⁧فادر⁩ (fādar) &  (Christianity, historical) a missionary; Jesuit	m.	پادری	3,217	11.77		
pão		pão (Source: Dalgado); Sanskrit पद्  (Source:McGregor)			पाव-रोटी									
papaia		papaia (Source: Dalgado); 	پپیتا	papitā	पपीता	noun			m. 	پپیتا	352	1.29	calendar	calendar
peru		peru (Source: Dalgado); Persian  پِیل مُرْغ (Source:Dasa)	پیرو	pīrū	पीरू	noun	(Standard Urdu) IPA(key): /piː.ɾuː/	turkey	m. 	پیرو	N	N	religion	religion
pipa		pipa (Source: Dalgado)	پیپا‎	pīpā	पीपा	noun		cask barrel canister	m. 		N			
pires		pires (Source: Dalgado); English press (Source: Wiktionary, McGregor)	پرچ	pirič	पिरिच	noun		saucer	m.	پرچ	38	0.14		
pistola		pistola (Source: Dalgado); English pistol (Source: Dalgado)	پسطول	pistūl	मार्तोल	noun			m.		0			
polícia		? polícia (Source: Dalgado); English police (Source: D, McGregor)	پولس	pulis	पुलिस	noun	(Standard Urdu) IPA(key): /puː.lɪs/	police	m.	پولس	8,934	32.7		
pompa			بمبہ	bamba	बंबा	noun	(Standard Urdu) IPA(key): /bəm.bᵊ/	pump; water pump & channel, narrow river, creek	m.		0	0		
prato		prato (Source: Dalgado); Sanskrit पात्र (Source: Dasa) 	پرات	parāt	परात	noun			f.	پرات	30	0.11	military	military
querubim		querubim (Source: Dalgado)	کَرُوبِیم		करूबीम	noun				کَرُوبِیم	0	0		
recibo		recibo (Source: Dalgado); Persian رسید (Source: McGregor)	رسید	rasīd	रसीद	noun	(Standard Urdu) IPA(key): /ɾə.siːd̪/	(law) bill, invoice & receipt (ie. confirmation) & clue, address, knowledge & response (to a question or statement/action) 		رسید	1,914	7		
sabão		sabão (Source: Dalgado); A. ṣābun (Source: McGregor); Persian صابون (Source: Wiktionary)	صابن	sābun	साबुन	noun	(Standard Urdu) IPA(key): /sɑː.bʊn/	soap & washing powder (ie. for a washing machine etc.)	m.	صابن	1,632	5.97		
sagu		? sagu (Source: Dalgado); Indonesian sagu (Source: McGregor)	ساگو	sāgū	सागू	noun			m.	ساگو	11	0.04		
saia		saia (Source: Dalgado)	سايہ	 sā'yah	साया	noun		petticoat, underskirt	m.	سایہ⁩	0	0		
setembro	September	setembro (Source: Wiktionary); English September (Source: McGregor)	ستمبر	sitambar	सितंबर	noun		September	m.		24,037	87.97		
sorte		sorte (Source: Dalgado); Arabic شَرْط (Source: Wiktionary)	شرط	šart	शर्ती	noun	(Standard Urdu) IPA(key): /ʃəɾt̪/	condition, term & wager, bet & provision, wage	f.	شرط	N	N		
tabaco		tabaco (Source: Dalgado); Persian تنباکو (Source: Wiktionary)	تنباکو	tanbâku	तंबाकू	noun			m.	تنباکو 	1,619	5.93	clothing	clothing
tambor		tambor (Source: Dalgado); Persian tambūra (Source: McGregor)	تنپورا	tanpūrā	तंबूरा	noun				تنپورا	0	0	calendar	calendar
toalha		toalha (Source: Dalgado); English towel (Source: McGregor)	تَولِیَہ⁩	tauliya	तौलिया	noun	(Standard Urdu) IPA(key): /t̪ɔː.lɪ.jə/, /t̪oː.lɪ.jə/	towel	m.	تولیہ	55			
toronja		toronja (Source: Dalgado); Persian turanj (Source: McGregor)	ترنج	tunaj	तुरंज	noun			m.	ترنج	38	0.14		
tufão		? tufão (Source: Dalgado); Persian طوفان (Source: Wiktionary, McGregor)	طوفان	tūfān	तूफ़ान	noun	(Standard Urdu) IPA(key): /t̪uː.fɑːn/	storm & flood & deluge &  inundation & typhoon & hurricane	m.	طوفان	9,982	36.53		
varanda	varanda; w. P. bar āmada 'come forth'	varanda (Source: Dalgado); Persian bar āmada 'come forth' (Source: McGregor)	 بَرَامْدَا‎	barāmdā	बरामदा	noun			m.	برامدا	0			
verruma		verruma (Source: Dalgado)	برما	baramā	बरमा	noun	(Standard Urdu) IPA(key): /bəɾ.mɑː/	(tool) drill, borer	m.	برما	4,930	18.04		
														
													architecture	architecture
