Etymon pt-PT Note	Etymon pt-PT	Transliteration	Headword	urTenTen18	urTenTen18 Relative	Headword Hindi	Part of Speech	Gender	Pronunciation	Sense (Wiktionary)	Etymology Free	Variant	Headword (Ur)	Domain	Grammar	direct singular	oblique singular	vocative singular	direct plural	oblique plural	vocative plural	Etymon pt-PT_1
	polícia	pulis	پولس	8,934	32.7	पुलिस	noun	f.	(Standard Urdu) IPA(key): /puː.lɪs/	the police	pt ? polícia (Source: Dalgado) | en police (Source: Dalgado, McGregor) .		پولس									
	pompa	bamba	بمبہ⁩	0		बंबा	noun	m.		pump; water pump & channel, narrow river, creek	pt pompa (Source: Platts).		بمبہ			بمبا	بمبے	بمبے	بمبے	بمبوں	بمبو	
	prato	parāt	پرات	30	0.11	परात	noun	f.		receipt	pt prato (Source: Dalgado) | sa पात्र (Source: Dasa) .		پرات									
	prumo	prum	پرم 				noun	m.		Sounding lead: — prum ḍālnā, v.n. To heave the lead.	pt prumo (Source: Platts)											
	querubim	karobim	کَرُوبِیم			करूबीम	noun			cherubim	pt querubim (Source: Dalgado) .		کَرُوبِیم									
	recibo	rasīd	رسید	1,914	7	रसीद	noun	f.	(Standard Urdu) IPA(key): /ɾə.siːd̪/	receipt	pt recibo (Source: Dalgado) | fa رسید (Source: McGregor)  .		رسید									
	sabão	sābun	صابن	1,632	5.97	साबुन	noun	m.	(Standard Urdu) IPA(key): /sɑː.bʊn/	soap	pt sabão (Source: Dalgado) | ine-pro *seyb- > gem-pro *saipǭ [borrowing] > la sāpō [borrowing] > grc σάπων [borrowing] > syc ܨܲܦ݁ܘܿܢܵܐ (Source:Wiktionary)  [borrowing] > ar صَابُون (Source: McGregor) |  ar صَابُون > fa صابون (Source: Wiktionary) .		صابن									
	sagu	sāgū	ساگو	11	0.04	सागू	noun	m.		sago	pt ? sagu (Source: Dalgado) | id sagu (Source: McGregor) .		ساگو									
	saia	 sā'yah	سایہ⁩	0	0	साया	noun	m.		petticoat	pt saia (Source: Dalgado, McGregor)  .		سايہ			سایہ⁩	سایے	سایے	سایے	سایوں	سایو	
	salada	salad	سلاد			सलाद	noun	m.	(Standard Urdu) IPA(key): /sə.lɑːd̪/	salad	pt salada (Source: Dalgado) | fr salade (Source: McGregor) | ar > en salad (Source: Dasa) .											
	salsaparrilha	salasa	سالسا			सालसा	noun	m.		Indian sarsparilla	pt ? salsaparrilha (Source: Platts) .											
	sapato	chapat	چپات			चपात	noun	f.		 A shoe of the European fashion (having a heel-piece, in contradistinction to the Persian shoe).	pt sapato (Source: Platts) .											
	setembro	sitambar	ستمبر	24,037	87.97	सितंबर	noun	m.		September	pt setembro (Source: McGregor) | en September (Source: McGregor) .		ستمبر									
	Sintra	saṅgtara	 سنگتره				noun	m.		tangerine, a type of orange & breast	pt ? Sintra (Source: Platts) | pt Sintra (Source: Fallon)											
	sorte	šart	شرط	N	N	शर्ती	noun	f.	(Standard Urdu) IPA(key): /ʃəɾt̪/	condition, requirement & wager, bet 	pt sorte (Source: Dalgado) .		شرط									
	tabaco	tanbâku	تنباکو 	1,619	5.93	तंबाकू	noun	m.		tobacco	pt tabaco (Source: Dalgado) | pt tabaco (Source:Wiktionary) > fa تنباکو (Source: McGregor) | en tobacco (Source: Dasa) .		تنباکو									
	tambor	tanpūrā	تنپورا	0	0	तंबूरा	noun	m.		tanpura	pt tambor (Source: Dalgado) | pal tmbwl, tnbwl (Source: Wiktionary) > fa تنبور ‘tanbur' (Source:  McGregor) .		تنپورا									
	toalha	tauliya	تَولِیَہ⁩	55		तौलिया	noun	m.	(Standard Urdu) IPA(key): /t̪ɔː.lɪ.jə/, /t̪oː.lɪ.jə/	towel	pt toalha (Source: Dalgado) | en towel (Source: McGregor) .		تَولِیَہ⁩			تَولِیہ⁩	تولیے	تولیے	تولیے	تولیوں	تولیو	
	toronja	tunaj	ترنج	38	0.14	तुरंज	noun	m.		a kind of citron	pt toronja (Source: Dalgado) | fa turanj (Source: McGregor) .		ترنج									
	tufão	tūfān	طوفان	9,982	36.53	तूफ़ान	noun	m.	(Standard Urdu) IPA(key): /t̪uː.fɑːn/	storm, tempest & hurricane	pt ? tufão (Source: Dalgado) | ar طوفان (Source: Platts) .		طوفان									
	varanda	barāmdā	برامدا			बरामदा	noun	m.		verandah	pt varanda (Source: Dalgado, McGregor) | fa bar āmada ‘come forth' (Source: McGregor) .											
	vermelho	baramā	ورمیلیو			वरमेल्हो	noun	m.		Malay red sandalwood	pt vermelho (Source: Dasa) .											
	verruma	barma	برما	4,930	18.04	बरमा	noun	m.	(Standard Urdu) IPA(key): /bəɾ.mɑː/	(tool) drill, borer	pt verruma (Source: Dalgado) .		برما									
