Etymon pt-PT	hiTenTen21 Relative (1)	Headword	hiTenTen21 Absolute (1)	Headword (Hi)	Etymon pt-PT New Spelling	DALGADO Pt-Lemma	Etymology	Etymology Free	Etymology Full	Etymology Full 2	Alternative Etymology (1)	Transliteration	Urdu 	Part of Speech	Pronunciation	Gender	Definition	Domain	ODomain	Lexical field	Grammar	direct singular	oblique singular	vocative singular	direct plural	oblique plural	vocative plural	Etymon pt-PT_1
prato		परात	400	परात		prato	prato (Source: Dalgado); Sanskrit पात्र (Source: Dasa) https://dsal.uchicago.edu/cgi-bin/app/dasa-hindi_query.py?qs=%E0%A4%AA%E0%A4%B0%E0%A4%BE%E0%A4%A4&searchhws=yes&matchtype=exact)	prato (Source: Dalgado); Sanskrit पात्र (Source: Dasa) 	hi परात < pt prato (Source: Dalgado) | sa पात्र (Source: Dasa) .	pt prato (Source: Dalgado) | sa पात्र (Source: Dasa) .	Sanskrit पात्र (Source: Dasa) https://dsal.uchicago.edu/cgi-bin/app/dasa-hindi_query.py?qs=%E0%A4%AA%E0%A4%B0%E0%A4%BE%E0%A4%A4&searchhws=yes&matchtype=exact)	parāt	پرات	noun	(Delhi) IPA(key): /pə.ɾɑːt̪/, [pɐ.ɾäːt̪]	f.	receipt		tableware									polícia
padre	5.53	पादरी	4980	पादरी		padre	padre (Source: Dalgado)	padre (Source: Dalgado)	hi पादरी < pt padre (Source: Dalgado) .	pt padre (Source: Dalgado) .		pādarī	پادْری⁩	noun	(Delhi Hindi) IPA(key): /pɑːd̪.ɾiː/, [päːd̪.ɾiː]	m.	Christian priest or minister; chaplain.	religion	religion	practices, beliefs and rituals	masc ī-stem	पादरी	पादरी	पादरी	पादरी	पादरियों	पादरियो	mestre
pão		पाव-रोटी	94	पाव-रोटी		pão	pão (Source: Dalgado); Sanskrit पद् https://en.wiktionary.org/wiki/%E0%A4%AA%E0%A4%A6%E0%A5%8D#Sanskrit (Source:McGregor)	pão (Source: Dalgado); Sanskrit पद्  (Source:McGregor)	hi पाव-रोटी < pt pão (Source: Dalgado) | sa पद् (Source:McGregor) .	pt pão (Source: Dalgado) | sa पद् (Source:McGregor) .	Sanskrit पद् https://en.wiktionary.org/wiki/%E0%A4%AA%E0%A4%A6%E0%A5%8D#Sanskrit (Source:McGregor)	pāv-rotī		noun		f.	loaf of bread	culinary	culinary	food / baked goods								outubro
pires		पिरिच	0	पिरिच		pires	pires (Source: Dalgado); English press (Source: Wiktionary, McGregor)	pires (Source: Dalgado); English press (Source: Wiktionary, McGregor)	hi पिरिच < pt pires (Source: Dalgado) | en press (Source: Wiktionary, McGregor) .	pt pires (Source: Dalgado) | en press (Source: Wiktionary, McGregor) .	English press (Source: Wiktionary, McGregor)	piric	پرچ	noun	(Delhi) IPA(key): /pɪ.ɾɪt͡ʃ/	m.	saucer  & a flat surface (as used in pressing out indigo)	household	household	tableware								peru
pistola	6.07	पिस्तौल	5,470	पिस्तौल		pistola	pistola (Source: Dalgado); English pistol (Source: Dalgado)	pistola (Source: Dalgado); English pistol (Source: Dalgado)	hi पिस्तौल < pt pistola (Source: Dalgado) | en pistol (Source: Dalgado) .	pt pistola (Source: Dalgado) | en pistol (Source: Dalgado) .	English pistol (Source: Dalgado)	pistaula	پسطول	noun	(Delhi Hindi) IPA(key): /pɪs.t̪ɔːl/	f.	pistol, gun	military	military	weapons, explosives, devices	fem cons-stem	पिस्तौल	पिस्तौल	पिस्तौल	पिस्तौलें	पिस्तौलों	पिस्तौलो	pipa
pipa	?0.93	पीपा	?834	पीपा		pipa	pipa (Source: Dalgado)	pipa (Source: Dalgado)	hi पीपा < pt pipa (Source: Dalgado) .	pt pipa (Source: Dalgado) .		pīpā	پیپا	noun	(Delhi Hindi) IPA(key): /piː.pɑː/, [piː.päː]	m.	cylinder, barrel, cask			containers	masc ā-stem	पीपा	पीपे	पीपे	पीपे	पीपों	पीपो	papaia
peru		पीरू	N	पीरू		peru	peru (Source: Dalgado); Persian  پِیل مُرْغ (Source:Dasa)	peru (Source: Dalgado); Persian  پِیل مُرْغ (Source:Dasa)	hi पीरू < pt peru (Source: Dalgado) | fa  پِیل مُرْغ (Source:Dasa) .	pt peru (Source: Dalgado) | fa  پِیل مُرْغ (Source:Dasa) .	Persian  پِیل مُرْغ (Source:Dasa)	pīrū	پیرو	noun	(Delhi) IPA(key): /piː.ɾuː/	m.	turkey											pão
polícia		पुलिस		पुलिस		? polícia	? polícia (Source: Dalgado); English police (Source: D, McGregor)	? polícia (Source: Dalgado); English police (Source: D, McGregor)	hi पुलिस < pt ? polícia (Source: Dalgado) | en police (Source: D, McGregor) .	pt ? polícia (Source: Dalgado) | en police (Source: D, McGregor) .	English police (Source: D, McGregor)	pulis	پولس	noun	(Delhi) IPA(key): /pʊ.lɪs/	f.	the police											pires
forma		फ़र्मा		फ़र्मा		forma	forma (Source: Dalgado)	forma (Source: Dalgado)	hi फ़र्मा < pt forma (Source: Dalgado) .	pt forma (Source: Dalgado) .		formā		noun			in the sense of ‘mould, appearance’											falto
falto		फ़ालतू		फ़ालतू		falto	falto (Source: Dalgado)	falto (Source: Dalgado)	hi फ़ालतू < pt falto (Source: Dalgado) .	pt falto (Source: Dalgado) .		fāltū	فالتو	adj.	(Delhi) IPA(key): /fɑːl.t̪uː/, [fäːl.t̪uː], /pʰɑːl.t̪uː/, [pʰäːl.t̪uː]		unnecessary, pointless & bad; not nice; of poor quality & useless, irrelevant, good-for-nothing (used for someone)											estábulo
